codigo_iso3,codigo_m49,pais,area_codigo,idh,anio_idh,gini,anio_gini,esperanza_vida,anio_esperanza_vida,fuente_idh,fuente_gini,fuente_esperanza_vida,estado_revision,observaciones
GUF,254,French Guiana,SAM,,,,,,,PNUD Human Development Reports,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Entidad SEGUN_FUENTE; sin imputacion si la fuente no publica valor separado. Sin IDH disponible en la serie oficial PNUD usada para esta entidad. Sin Gini 2015-2024 usable en WDI/PIP. Sin esperanza de vida 2023/2022 usable en WDI.
PYF,258,French Polynesia,APC,,,,,84.07,2023.0,PNUD Human Development Reports,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Entidad SEGUN_FUENTE; sin imputacion si la fuente no publica valor separado. Sin IDH disponible en la serie oficial PNUD usada para esta entidad. Sin Gini 2015-2024 usable en WDI/PIP.
DJI,262,Djibouti,AFR,0.515,2022.0,41.6,2017.0,65.987,2023.0,PNUD Human Development Reports,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,IDH en ultimo anio oficial disponible (2022) por ausencia de 2023 en esta extraccion. Gini seleccionado en 2015-2018 (antiguo).
GAB,266,Gabon,AFR,0.693,2022.0,38.0,2017.0,68.337,2023.0,PNUD Human Development Reports,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,IDH en ultimo anio oficial disponible (2022) por ausencia de 2023 en esta extraccion. Gini seleccionado en 2015-2018 (antiguo).
GEO,268,Georgia,RUE,0.814,2022.0,33.9,2024.0,74.496,2023.0,PNUD Human Development Reports,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,IDH en ultimo anio oficial disponible (2022) por ausencia de 2023 en esta extraccion.
GMB,270,Gambia,AFR,0.495,2022.0,38.8,2020.0,65.86,2023.0,PNUD Human Development Reports,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,IDH en ultimo anio oficial disponible (2022) por ausencia de 2023 en esta extraccion.
PSE,275,Palestina,MDE,0.716,2022.0,36.4,2023.0,65.17,2023.0,PNUD Human Development Reports,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,IDH en ultimo anio oficial disponible (2022) por ausencia de 2023 en esta extraccion.
DEU,276,Germany,EUR,0.95,2022.0,33.7,2022.0,81.0414634146342,2023.0,PNUD Human Development Reports,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,IDH en ultimo anio oficial disponible (2022) por ausencia de 2023 en esta extraccion.
GHA,288,Ghana,AFR,0.602,2022.0,43.5,2016.0,65.498,2023.0,PNUD Human Development Reports,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,IDH en ultimo anio oficial disponible (2022) por ausencia de 2023 en esta extraccion. Gini seleccionado en 2015-2018 (antiguo).
GIB,292,Gibraltar,EUR,,,,,83.553,2023.0,PNUD Human Development Reports,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Entidad SEGUN_FUENTE; sin imputacion si la fuente no publica valor separado. Sin IDH disponible en la serie oficial PNUD usada para esta entidad. Sin Gini 2015-2024 usable en WDI/PIP.
KIR,296,Kiribati,APC,0.628,2022.0,24.7,2023.0,66.473,2023.0,PNUD Human Development Reports,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,IDH en ultimo anio oficial disponible (2022) por ausencia de 2023 en esta extraccion.
GRC,300,Greece,EUR,0.893,2022.0,33.4,2023.0,81.7365853658537,2023.0,PNUD Human Development Reports,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,IDH en ultimo anio oficial disponible (2022) por ausencia de 2023 en esta extraccion.
GRL,304,Greenland,NAC,,,,,70.9724390243902,2023.0,PNUD Human Development Reports,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Entidad SEGUN_FUENTE; sin imputacion si la fuente no publica valor separado. Sin IDH disponible en la serie oficial PNUD usada para esta entidad. Sin Gini 2015-2024 usable en WDI/PIP.
GRD,308,Grenada,NAC,0.793,2022.0,43.8,2018.0,75.205,2023.0,PNUD Human Development Reports,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,IDH en ultimo anio oficial disponible (2022) por ausencia de 2023 en esta extraccion. Gini seleccionado en 2015-2018 (antiguo).
GLP,312,Guadeloupe,NAC,,,,,,,PNUD Human Development Reports,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Entidad SEGUN_FUENTE; sin imputacion si la fuente no publica valor separado. Sin IDH disponible en la serie oficial PNUD usada para esta entidad. Sin Gini 2015-2024 usable en WDI/PIP. Sin esperanza de vida 2023/2022 usable en WDI.
GUM,316,Guam,APC,,,,,77.209,2023.0,PNUD Human Development Reports,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Entidad SEGUN_FUENTE; sin imputacion si la fuente no publica valor separado. Sin IDH disponible en la serie oficial PNUD usada para esta entidad. Sin Gini 2015-2024 usable en WDI/PIP.
GTM,320,Guatemala,NAC,0.629,2022.0,45.2,2023.0,72.602,2023.0,PNUD Human Development Reports,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,IDH en ultimo anio oficial disponible (2022) por ausencia de 2023 en esta extraccion.
