codigo_iso3,codigo_m49,nombre_es,area_codigo,area_nombre,tipo_entidad,incluir_calculos,superficie_km2,anio_superficie,poblacion_2025,poblacion_2050,edad_mediana_2025,fuente_superficie,fuente_poblacion,estado_revision,observaciones_datos
GTM,320,Guatemala,NAC,Norteamérica y Caribe,PAIS_SOBERANO,SI,107160.0,2023.0,18687881.0,24670861.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
GIN,324,Guinea,AFR,África,PAIS_SOBERANO,SI,245720.0,2023.0,15099731.0,23404593.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
GUY,328,Guyana,SAM,Sudamérica,PAIS_SOBERANO,SI,211140.0,2023.0,835991.0,940608.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
HTI,332,Haiti,NAC,Norteamérica y Caribe,PAIS_SOBERANO,SI,27560.0,2023.0,11906094.0,14710871.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
VAT,336,Holy See (Vatican City State),EUR,Europa,PAIS_SOBERANO,SI,0.44,2023.0,510.0,720.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
HND,340,Honduras,NAC,Norteamérica y Caribe,PAIS_SOBERANO,SI,111890.0,2023.0,11005852.0,14846781.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
HKG,344,Hong Kong,CHN,China,REGION_ESPECIAL,SEGUN_FUENTE,1050.0,2023.0,7396075.0,6090616.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
HUN,348,Hungary,EUR,Europa,PAIS_SOBERANO,SI,91260.0,2023.0,9632286.0,8725349.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
ISL,352,Iceland,EUR,Europa,PAIS_SOBERANO,SI,100830.0,2023.0,398270.0,432997.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
IND,356,India,SAI,Subcontinente indio,PAIS_SOBERANO,SI,2973190.0,2023.0,1463865527.0,1679589264.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
