codigo_iso3,codigo_m49,pais,area_codigo,anio,co2_t,co2_per_capita_t,poblacion_2025,fuente,estado_revision,observaciones
MDG,450,Madagascar,AFR,2024.0,4528381.0,0.13831052755712298,32740682.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
MWI,454,Malawi,AFR,2024.0,1881479.0,0.084689818446229,22216118.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
MYS,458,Malaysia,APC,2024.0,290223840.0,8.066740204538162,35977834.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
MDV,462,Maldives,SAI,2024.0,2306210.0,4.353968433771334,529680.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
MLI,466,Mali,AFR,2024.0,6978840.0,0.2769510745721853,25198819.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
MLT,470,Malta,EUR,2024.0,1728766.0,3.1696864354260863,545406.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
MTQ,474,Martinique,NAC,,,,340451.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",AUSENTE_DOCUMENTADO,Sin dato territorial comparable en 2024; no estimar ni convertir en cero. Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
MRT,478,Mauritania,AFR,2024.0,5238679.0,0.9856270996893363,5315072.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
MUS,480,Mauritius,AFR,2024.0,4673616.0,3.6849887840666726,1268285.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
MEX,484,Mexico,NAC,2024.0,460987650.0,3.493736196009217,131946897.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
MCO,492,Monaco,EUR,,,,38367.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",AUSENTE_DOCUMENTADO,Sin dato territorial comparable en 2024; no estimar ni convertir en cero.
MNG,496,Mongolia,APC,2024.0,44693890.0,12.707608007399283,3517097.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
MDA,498,Moldavia,EUR,2024.0,5326843.0,1.7779232630108968,2996104.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
MNE,499,Montenegro,EUR,2024.0,2376258.0,3.7555639846379973,632730.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
MSR,500,Montserrat,NAC,2024.0,26579.0,6.064111339265343,4383.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK, Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
MAR,504,Morocco,AFR,2024.0,69062344.0,1.7970583678590497,38430774.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
MOZ,508,Mozambique,AFR,2024.0,8612630.0,0.24171286785792756,35631657.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
OMN,512,Oman,MDE,2024.0,82661976.0,15.043958027887257,5494696.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
NAM,516,Namibia,AFR,2024.0,3469112.0,1.1216659483364864,3092821.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
NRU,520,Nauru,APC,2024.0,61390.0,5.093760371722536,12052.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
NPL,524,Nepal,SAI,2024.0,18776082.0,0.6339390211127512,29618120.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
NLD,528,Netherlands,EUR,2024.0,114784730.0,6.2563818269789815,18346823.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
CUW,531,Curaçao,NAC,2024.0,2289628.0,12.343340790856896,185495.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK, Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
ABW,533,Aruba,NAC,2024.0,920644.0,8.512107399428608,108157.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK, Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
SXM,534,Sint Maarten (Dutch part),NAC,2024.0,717645.0,16.33015519046102,43946.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK, Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
BES,535,"Bonaire, Sint Eustatius and Saba",NAC,2024.0,151882.0,4.842558347149598,31364.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK, Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
NCL,540,New Caledonia,APC,2024.0,5286637.0,17.90053634190442,295334.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK, Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
VUT,548,Vanuatu,APC,2024.0,197079.0,0.5879795930544782,335180.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
NZL,554,New Zealand,APC,2024.0,32479432.0,6.184323873830732,5251897.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
NIC,558,Nicaragua,NAC,2024.0,5630346.0,0.8034734749462256,7007507.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
NER,562,Niger,AFR,2024.0,3169958.0,0.11354599861285786,27917831.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
NGA,566,Nigeria,AFR,2024.0,135824000.0,0.5718236217482058,237527788.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
NIU,570,Niue,APC,2024.0,7627.0,4.140608034744843,1842.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK, Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
NFK,574,Norfolk Island,APC,,,,,"Global Carbon Budget (2025), con procesamiento de Our World in Data",AUSENTE_DOCUMENTADO,Sin dato territorial comparable en 2024; no estimar ni convertir en cero. Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
NOR,578,Norway,EUR,2024.0,37183000.0,6.612575256879066,5623074.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
MNP,580,Northern Mariana Islands,APC,,,,43564.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",AUSENTE_DOCUMENTADO,Sin dato territorial comparable en 2024; no estimar ni convertir en cero. Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
FSM,583,"Micronesia, Federated States of",APC,2024.0,150626.0,1.3247902337771993,113698.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
MHL,584,Marshall Islands,APC,2024.0,154480.0,4.255061286324198,36305.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
PLW,585,Palau,APC,2024.0,226099.0,12.783343698761803,17687.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
PAK,586,Pakistan,SAI,2024.0,179800380.0,0.7044929471706636,255219560.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
PAN,591,Panama,NAC,2024.0,12664428.0,2.770485785551871,4571194.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
PNG,598,Papua New Guinea,APC,2024.0,8345442.0,0.7753954098093799,10762821.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
PRY,600,Paraguay,SAM,2024.0,7936718.0,1.1317023521337775,7013079.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
PER,604,Peru,SAM,2024.0,70246650.0,2.031619699211662,34576673.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
