codigo_iso3,codigo_m49,pais,area_codigo,anio,tec_net_pct,poblacion_2025,usuarios_estimados_2025,fuente_codigo,fuente,estado_revision,observaciones
ITA,380,Italy,EUR,2024.0,89.2207202,59146263.0,52770721.81998613,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
CIV,384,Côte d'Ivoire,AFR,2024.0,41.43219902,32711546.0,13553112.841238849,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
JAM,388,Jamaica,NAC,2024.0,90.10870361,2837080.0,2556456.008378588,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
JPN,392,Japan,APC,2024.0,85.54153081,123103480.0,105304601.27238218,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
KAZ,398,Kazakhstan,RUE,2024.0,93.39167254,20843758.0,19466334.216390055,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
JOR,400,Jordan,MDE,2024.0,95.62244985,11520687.0,11016363.148950469,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
KEN,404,Kenya,AFR,2024.0,34.97622513,57532491.0,20122693.57505699,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
PRK,408,Corea del Norte,APC,2004.0,0.0,26571043.0,0.0,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Cero publicado por la fuente; no es una ausencia.
KOR,410,Corea del Sur,APC,2024.0,97.89563777,51667035.0,50579773.430099115,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
KWT,414,Kuwait,MDE,2025.0,100.0,5026079.0,5026079.0,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
KGZ,417,Kyrgyzstan,RUE,2024.0,92.0286026,7295037.0,6713520.610252962,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
LAO,418,Lao People's Democratic Republic,APC,2024.0,65.59269714,7873048.0,5164144.530326827,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
LBN,422,Lebanon,MDE,2024.0,80.63400269,5849423.0,4716623.899169479,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
LSO,426,Lesotho,AFR,2024.0,51.79660034,2363330.0,1224124.594815322,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
LVA,428,Latvia,EUR,2024.0,92.70757011,1853560.0,1718390.436530916,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
