codigo_iso3,codigo_m49,pais,area_codigo,gasto_militar_usd,gasto_militar_pct_pib,anio_gasto,fuente_gasto,estado_revision,observaciones
KGZ,417,Kyrgyzstan,RUE,601125601.9789898,0.029171251904690748,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
LAO,418,Lao People's Democratic Republic,APC,,,,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",AUSENTE,Sin dato SIPRI usable para 2025/2024 en esta entidad.
LBN,422,Lebanon,MDE,828299104.1556169,0.025096134166182504,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
LSO,426,Lesotho,AFR,39909364.883225515,0.016290959098571717,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
LVA,428,Latvia,EUR,1731606615.0756943,0.03607721000298902,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
LBR,430,Liberia,AFR,44210000.0,0.00853145503666538,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
LBY,434,Libya,AFR,,,,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",AUSENTE,Sin dato SIPRI usable para 2025/2024 en esta entidad.
LIE,438,Liechtenstein,EUR,,,,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",AUSENTE,Sin dato SIPRI usable para 2025/2024 en esta entidad.
LTU,440,Lithuania,EUR,2952191864.2691154,0.03079753664717059,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
LUX,442,Luxembourg,EUR,855409155.5174514,0.008510505050505051,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
MAC,446,Macao,CHN,,,,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",AUSENTE,Entidad SEGUN_FUENTE; no imputar cero si SIPRI no publica valor separado. Sin dato SIPRI usable para 2025/2024 en esta entidad.
MDG,450,Madagascar,AFR,119676668.15152624,0.006188718289447978,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
MWI,454,Malawi,AFR,162819193.4042492,0.011454969663418304,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
MYS,458,Malaysia,APC,4933177367.160248,0.010360232333830478,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
MDV,462,Maldives,SAI,,,,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",AUSENTE,Sin dato SIPRI usable para 2025/2024 en esta entidad.
MLI,466,Mali,AFR,952899497.8331155,0.038741279168859825,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
MLT,470,Malta,EUR,124657626.96568373,0.004488288390428941,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
MTQ,474,Martinique,NAC,,,,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",AUSENTE,Entidad SEGUN_FUENTE; no imputar cero si SIPRI no publica valor separado. Sin dato SIPRI usable para 2025/2024 en esta entidad.
MRT,478,Mauritania,AFR,321759024.9932787,0.027484162249529907,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
MUS,480,Mauritius,AFR,23839838.912924312,0.0014553642153844236,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
MEX,484,Mexico,NAC,13647711360.169912,0.007368094923746284,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
MCO,492,Monaco,EUR,,,,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",AUSENTE,Sin dato SIPRI usable para 2025/2024 en esta entidad.
MNG,496,Mongolia,APC,221316703.29112354,0.008826504651376375,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
MDA,498,Moldavia,EUR,113287334.34316091,0.005603007679420097,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
MNE,499,Montenegro,EUR,176544908.96374342,0.01889984443151503,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
MSR,500,Montserrat,NAC,,,,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",AUSENTE,Entidad SEGUN_FUENTE; no imputar cero si SIPRI no publica valor separado. Sin dato SIPRI usable para 2025/2024 en esta entidad.
