codigo_iso3,codigo_m49,pais,area_codigo,pib_usd,anio_pib,fuente,indicador_fuente,estado_revision,observaciones
SVK,703,Slovakia,EUR,140934076532.375,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
VNM,704,Vietnam,APC,476324572783.807,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
SVN,705,Slovenia,EUR,72972015197.3859,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
SOM,706,Somalia,AFR,11967000000.0,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
ZAF,710,South Africa,AFR,401144998373.585,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
ZWE,716,Zimbabwe,AFR,41521975830.2351,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
ESP,724,Spain,EUR,1725671652742.19,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
SSD,728,South Sudan,AFR,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
SDN,729,Sudan,AFR,49672435513.1126,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
ESH,732,Western Sahara,AFR,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
SUR,740,Suriname,SAM,4416775112.72266,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
SJM,744,Svalbard and Jan Mayen,EUR,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
SWZ,748,Esuatini,AFR,4858885840.77236,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
SWE,752,Sweden,EUR,604827393488.582,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
CHE,756,Switzerland,EUR,969919786394.884,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
SYR,760,Siria,MDE,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
TJK,762,Tajikistan,RUE,14425113699.7925,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
THA,764,Thailand,APC,529385520941.539,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
TGO,768,Togo,AFR,10643440332.2445,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
TKL,772,Tokelau,APC,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
TON,776,Tonga,APC,647488243.847291,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
TTO,780,Trinidad and Tobago,NAC,25633544529.4849,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
ARE,784,United Arab Emirates,MDE,552324919095.872,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
TUN,788,Tunisia,AFR,51412122479.8468,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
TUR,792,Turquía,MDE,1359123768774.12,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
TKM,795,Turkmenistan,RUE,44249447717.2312,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
TCA,796,Turks and Caicos Islands,NAC,1745378000.0,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
