codigo_indicador,codigo_pais,codigo_area,incluido,motivo
POB_URB,FSM,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,MHL,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,PLW,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,PNG,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,PHL,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,PCN,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,TLS,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,SGP,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,VNM,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,THA,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,TKL,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,TON,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,TUV,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,WLF,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,WSM,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,CHN,CHN,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,HKG,CHN,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,MAC,CHN,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,ALB,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,AND,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,AUT,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,BEL,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,BIH,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,BGR,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,HRV,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,CYP,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,CZE,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,DNK,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,EST,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,FRO,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,FIN,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,ALA,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,FRA,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,DEU,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,GIB,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,GRC,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,VAT,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,HUN,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,ISL,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,IRL,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,ITA,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,LVA,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,LIE,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,LTU,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,LUX,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,MLT,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,MCO,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,MDA,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,MNE,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,NLD,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,NOR,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,POL,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,PRT,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,ROU,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,SMR,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,SRB,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,SVK,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,SVN,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,ESP,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,SJM,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,SWE,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,CHE,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,UKR,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,MKD,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,GBR,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,GGY,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,JEY,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,IMN,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,XKX,EUR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,BHR,MDE,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,PSE,MDE,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,IRN,MDE,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,IRQ,MDE,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,ISR,MDE,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,JOR,MDE,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,KWT,MDE,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,LBN,MDE,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,OMN,MDE,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,QAT,MDE,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,SAU,MDE,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,SYR,MDE,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,ARE,MDE,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,TUR,MDE,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,YEM,MDE,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,ATG,NAC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,BHS,NAC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,BRB,NAC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,BMU,NAC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,BLZ,NAC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,VGB,NAC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,CAN,NAC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,CYM,NAC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,CRI,NAC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,CUB,NAC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,DMA,NAC,NO,No existe serie nacional de poblacion urbana incorporada
